dataset,task,method,accuracy,macro_f1,weighted_f1,roc_auc,pr_auc,wall_time_s,comm_upload_MB,n_params
edgeiiot,multiclass,centralized,0.7726875,0.7130604815432768,0.759124607700552,,,24.118870800361037,,13711
edgeiiot,multiclass,local,0.67434375,0.5897929969008855,0.6413311238598591,,,21.37735310010612,,13711
edgeiiot,multiclass,fedavg,0.7350625,0.6758129963414992,0.7131832926053666,,,21.927895599976182,3.29064,13711
edgeiiot,multiclass,he_fedavg,0.7325,0.6485643326079009,0.704789272632997,,,24.324181099422276,80.26836,13711
edgeiiot,multiclass,fedavg_dp,0.6756875,0.5973421127266205,0.6492440507240347,,,21.714087700471282,3.29064,13711
keystroke,multiclass,centralized,0.8963235294117647,0.8964687325948225,0.8964687325948225,,,8.155564799904823,,15667
keystroke,multiclass,local,0.8050245098039215,0.8032925639611923,0.8032925639611925,,,5.443243899382651,,15667
keystroke,multiclass,fedavg,0.8941176470588236,0.8930723212966384,0.8930723212966385,,,5.617466599680483,3.76008,15667
keystroke,multiclass,he_fedavg,0.8919117647058824,0.890831360144099,0.8908313601440989,,,7.539078399538994,80.20266,15667
keystroke,multiclass,fedavg_dp,0.8801470588235294,0.8785965169176086,0.8785965169176086,,,5.320958599448204,3.76008,15667
rba,binary,centralized,0.8265309572921246,0.7960730283772453,0.8322446504930611,0.8837994715616743,0.704121596102857,36.15773200057447,,3106
rba,binary,local,0.7988621377607953,0.7682077579538981,0.8067782318075915,0.8685517233636953,0.6520201116607129,33.09888300020248,,3106
rba,binary,fedavg,0.7910255976735536,0.7652992714583473,0.8009629856569986,0.879638074792565,0.6963788791575058,33.72256060037762,0.74544,3106
rba,binary,he_fedavg,0.8009670983667535,0.7721506255132501,0.8093405072324287,0.878549743892829,0.6934401231628645,34.11408380046487,20.06304,3106
rba,binary,fedavg_dp,0.8023534981232882,0.7728118139959395,0.8104120839378471,0.8767384983544244,0.6852325780181205,33.28272040002048,0.74544,3106
